name,kind,width,bp,workloads,policy,cycles,sim_seconds,host_seconds,threads,insts_total,ops_total,insts_t0,ipc_t0,insts_t1,ipc_t1,insts_t2,ipc_t2,insts_t3,ipc_t3,ipc,cpi,ipc_gem5,idle_cycles,cond_predicted,cond_incorrect,cond_mispred_rate,bp_lookups,bp_mispredicted,btb_hits,btb_lookups,commit_branch_mispredicts,mpki,squashed_commit,squashed_decode,squashed_rename,squashed_execute,fetched_insts,rob_full,iq_full,lq_full,sq_full,iew_iq_full,iew_lsq_full,rob_reads,rob_writes,fu_busy_rate,issue_rate,lq_avg_occ,sq_avg_occ,rename_int_lookups,rename_fp_lookups,dcache_misses,dcache_miss_rate,icache_misses,l2_misses,l2_miss_rate,mix_IntAlu,mix_IntMult,mix_IntDiv,mix_FloatAdd,mix_FloatCmp,mix_FloatCvt,mix_FloatMult,mix_FloatMultAcc,mix_FloatDiv,mix_SimdFloatAdd,mix_SimdFloatMult,mix_SimdFloatMultAcc,mix_SimdAlu,mix_SimdMisc,mix_MemRead,mix_MemWrite,mix_FloatMemRead,mix_FloatMemWrite,mix_No_OpClass,program_output
ss_w4_int_alu,sweep,4,tournament,int_alu,,1365844,0.000683,4.06,1,3703879,3857012,3703879,2.7118,,,,,,,2.7118,0.3688,2.711788,6078,51260,200,0.0039,51698,200,50897,51698,184,0.05,3965,232,0,218,3707694,150011,43820,0,662,5,0,4418743,7723116,0.0,2.82596,0.0,0.0,7413725,44,79,0.054558,155,167,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
ss_w4_mem_chase,sweep,4,tournament,mem_chase,,13959295,0.00698,12.22,1,4349775,7874635,4349775,0.3116,,,,,,,0.3116,3.2092,0.311604,6780,833246,215,0.0003,833744,215,832883,833744,181,0.042,69455,319,0,236,4401823,375491,47,0,3528000,2,0,20322792,15905706,0.0,0.569011,0.37,0.35,8476874,44,332738,0.402931,164,54784,0.164597,7048984,23,0,0,0,0,0,0,0,0,0,0,4,0,300606,524985,10,16,7,mem_chase: hops=300000 final=168928
ss_w4_mem_stream,sweep,4,tournament,mem_stream,,18161581,0.009081,20.33,1,6819943,14163483,6819943,0.3755,,,,,,,0.3755,2.663,0.375515,7671,1592618,223,0.0001,1593092,223,1592245,1593092,195,0.029,134785,302,0,278,6916028,132723,46,0,6916688,1,0,29664925,28630407,0.0,0.787229,0.21,0.5,16427972,69,1105440,0.702134,174,196812,1.0,12589225,9,0,0,0,0,0,0,0,0,0,0,4,0,1049217,524975,18,24,11,mem_stream: passes=2 checksum=8dd97a8432780000
ss_w8_branchy,sweep,8,tournament,branchy,,4246971,0.002123,13.45,1,3892612,7918953,3892612,0.9166,,,,,,,0.9166,1.091,0.916562,4891,1128195,155409,0.1378,1465315,155409,1435982,1465315,155406,39.923,4600536,445,0,299003,7281286,51,288,0,118172,2,5,15693315,25658812,0.022991,2.665145,0.03,0.05,16507233,138,4327,0.005082,179,1204,0.468118,7226525,16404,0,0,0,0,0,0,0,0,0,0,4,0,493767,182220,10,16,7,branchy: passes=20 checksum=0000a07e9043b778 hist=165100
ss_w8_bsort,sweep,8,tournament,bsort,,1737042,0.000869,7.95,1,2581636,4520690,2581636,1.4862,,,,,,,1.4862,0.6728,1.486225,7220,1257719,35682,0.0284,1571632,35682,1567226,1571632,36040,13.96,3088434,631,0,73561,5100254,30777,2657,0,5841,2,3,8582147,15620376,0.061611,3.735743,0.09,0.14,9625446,68,158,0.000227,211,254,1.0,3881270,815,7,0,0,0,0,0,0,0,0,0,4,0,321966,316595,10,16,7,bsort: n=800 sorted=1 checksum=9facde812add0c98
ss_w8_dep_chain,sweep,8,tournament,dep_chain,,4514071,0.002257,7.33,1,4003955,6507171,4003955,0.887,,,,,,,0.887,1.1274,0.886994,5242,501572,197,0.0004,502135,197,501148,502135,184,0.046,6539,449,0,361,4009466,23,2562534,0,820,2,5,11021277,13028416,3.2e-05,1.442501,0.0,0.0,9517146,60,83,0.055518,164,160,1.0,6005870,500019,0,0,0,0,0,0,0,0,0,0,4,0,591,657,10,16,4,dep_chain: n=500000 checksum=cc679c89b22ae8b9
ss_w8_fp_matmul,sweep,8,tournament,fp_matmul,,1934236,0.000967,8.38,1,3268564,6031055,3268564,1.6898,,,,,,,1.6898,0.5918,1.689848,5108,497994,9724,0.0195,498542,9724,497576,498542,9711,2.971,85093,377,0,10355,3539431,352617,130,0,64756,3,52433,7481561,12243651,0.000131,3.140993,0.5,0.35,5779323,3236684,952,0.000693,168,1022,0.999022,3287868,4626,0,451588,0,0,0,0,0,449280,442369,0,9222,4609,568,19072,896271,446992,9373,fp_matmul: reps=4 checksum=287734899
ss_w8_int_alu,sweep,8,tournament,int_alu,,1002474,0.000501,3.92,1,3703879,3857012,3703879,3.6947,,,,,,,3.6947,0.2707,3.694738,5803,51583,196,0.0038,52186,196,51190,52186,189,0.051,6969,364,0,383,3709637,93763,134547,0,704,2,3,4459359,7729062,0.001662,3.852211,0.0,0.0,7417537,52,90,0.058785,174,168,1.0,3855718,17,0,0,0,0,0,0,0,0,0,0,4,0,584,658,10,16,5,int_alu: n=50000 checksum=da8cf086078afda2
ss_w8_mem_chase,sweep,8,tournament,mem_chase,,13955094,0.006978,12.3,1,4349775,7874635,4349775,0.3117,,,,,,,0.3117,3.2082,0.311698,6037,836628,210,0.0003,837270,210,836217,837270,190,0.044,105104,514,0,388,4421596,488448,156,0,4115501,2,0,21622323,15972799,0.03726,0.571663,0.37,0.36,8517368,108,332740,0.402894,185,54785,0.164599,7048984,23,0,0,0,0,0,0,0,0,0,0,4,0,300606,524985,10,16,7,mem_chase: hops=300000 final=168928
ss_w8_mem_stream,sweep,8,tournament,mem_stream,,15336955,0.007668,19.6,1,6819943,14163483,6819943,0.4447,,,,,,,0.4447,2.2488,0.444674,6456,1600119,220,0.0001,1600784,220,1599729,1600784,203,0.03,203709,475,0,461,6958149,536622,143,0,7716150,3,10,28430654,28760082,0.013787,0.936624,0.17,0.6,16513060,128,1114219,0.707662,192,196814,1.0,12589225,9,0,0,0,0,0,0,0,0,0,0,4,0,1049217,524975,18,24,11,mem_stream: passes=2 checksum=8dd97a8432780000
